,tripduration,start station latitude,start station longitude,end station latitude,end station longitude
375,1750,40.72743423,-73.99379025,40.76095756,-73.96724467
376,539,40.72502876,-73.99069656,40.72490985,-74.00154702
377,6898,40.76341379,-73.99667444,40.72621788,-73.98379855
378,853,40.7454973,-74.00197139,40.73038599,-74.00214988
379,531,40.74206539,-74.00443172,40.74334935,-74.00681753
380,3474,40.70823502,-74.00530063,40.73649403,-73.99704374
381,993,40.75513557,-73.98658032,40.68753406,-73.97265183
382,864,40.710451,-73.960876,40.720873600000004,-73.98085795
383,1267,40.72110063,-73.99192540000001,40.739445,-73.97680600000001
384,426,40.71910537,-73.99973337,40.71910537,-73.99973337
385,861,40.72710258,-74.00297088,40.69991755,-73.98971773
386,864,40.751581,-73.97791,40.69597683,-73.99014892
387,8902,40.69475701363877,-73.99052739143372,40.76590936,-73.97634151
388,318,40.74238787,-73.99726235,40.71911552,-74.00666661
389,725,40.69610226,-73.96751037,40.7014851,-73.98656928
390,1474,40.722055,-73.989111,40.75756989999999,-73.99098507
391,824,40.72938685,-73.97772429,40.75756989999999,-73.99098507
392,388,40.74691959,-74.00451887,40.750967348715974,-73.99444207549095
393,743,40.69760127,-73.99344559,40.68683208,-73.9796772
394,2690,40.742354299999995,-73.98915076,40.71473993,-74.00910627
395,450,40.76344058,-73.98268129,40.73587678,-73.98205027
396,745,40.73587678,-73.98205027,40.71910537,-73.99973337
397,1648,40.742354299999995,-73.98915076,40.73454567,-73.99074142
398,524,40.73454567,-73.99074142,40.70834698,-74.01713445
399,521,40.73454567,-73.99074142,40.73652889,-74.00618026
400,7510,40.69475701363877,-73.99052739143372,40.76590936,-73.97634151
401,116,40.76068327096592,-73.98452728986742,40.75971079999999,-73.97402311
402,1689,40.74691959,-74.00451887,40.689888,-73.981013
403,442,40.693261,-73.968896,40.69236178,-73.98631746
404,2177,40.693261,-73.968896,40.7361967,-74.00859207
405,845,40.7405826,-74.00550867,40.75828065,-73.97069431
406,1898,40.72710258,-74.00297088,40.73935542,-73.99931783
407,516,40.73291553,-74.00711384,40.72740794,-73.98142006
408,961,40.75645824,-73.99372222,40.73649403,-73.99704374
409,718,40.72490985,-74.00154702,40.71911552,-74.00666661
410,601,40.76370739,-73.9851615,40.750967348715974,-73.99444207549095
411,217,40.73038599,-74.00214988,40.728145,-73.990214
412,252,40.74177603,-74.00149746,40.734232,-73.986923
413,605,40.70281858,-73.98765762,40.76228826,-73.98336183
414,1042,40.73912601,-73.97973776,40.75594159,-74.0021163
415,1952,40.73704984,-73.99009296,40.69383,-73.990539
416,3080,40.76095756,-73.96724467,40.689888,-73.981013
417,1248,40.68539567,-73.97431458,40.68851534,-73.9647628
418,222,40.74345335,-74.00004031,40.746745000000004,-74.007756
419,675,40.68753406,-73.97265183,40.72743423,-73.99379025
420,544,40.749717753,-74.002950346,40.75001986,-73.96905301
421,376,40.71559509,-73.9870295,40.71602118,-73.99974372
422,116,40.75714758,-73.97207836,40.73649403,-73.99704374
423,453,40.70862144,-74.00722156,40.70365182,-74.01167797
424,998,40.71413089,-73.99704679999999,40.745712100000006,-73.98194829
425,1419,40.71754834,-74.01322069,40.74487634,-73.99529885
426,1478,40.72740794,-73.98142006,40.74195138,-74.00803013
427,1746,40.74395411,-73.99144871,40.76727216,-73.99392888
428,413,40.69196035,-73.96536851,40.685226719472546,-73.97800147533417
429,475,40.739445,-73.97680600000001,40.75001986,-73.96905301
430,1025,40.73172428,-74.00674436,40.76727216,-73.99392888
431,689,40.69991755,-73.98971773,40.69383,-73.990539
432,1424,40.71473993,-74.00910627,40.71870987,-74.0090009
433,2260,40.71625008,-74.0091059,40.68382604,-73.97632328
434,30451,40.74475148,-73.99915362,40.72953837,-73.98426726
435,10840,40.69512845,-73.99595065,40.74345335,-74.00004031
436,348,40.7454973,-74.00197139,40.750967348715974,-73.99444207549095
437,957,40.75594159,-74.0021163,40.73587678,-73.98205027
438,636,40.69512845,-73.99595065,40.70037867,-73.99548059
439,497,40.646606799999994,-74.01597,40.75019995,-73.99093085
440,773,40.75019995,-73.99093085,40.710451,-73.960876
441,1680,40.69236178,-73.98631746,40.646768,-74.01651
442,1627,40.69236178,-73.98631746,40.728846000000004,-74.00859100000001
443,802,40.70834698,-74.01713445,40.73291553,-74.00711384
444,424,40.71605866,-73.99190759,40.7454973,-74.00197139
445,211,40.68940747,-73.96885458,40.689888,-73.981013
446,36985,40.70823502,-74.00530063,40.68764484,-73.96968902
447,696,40.72490985,-74.00154702,40.74096374,-73.98602213
448,8775,40.7284186,-73.98713956,40.7149787,-74.013012
450,13933,40.745712100000006,-73.98194829,40.751872999999996,-73.97770600000001
451,1543,40.76727216,-73.99392888,40.73172428,-74.00674436
452,547,40.69089272,-73.99612349,40.685226719472546,-73.97800147533417
453,11232,40.717571,-74.005549,40.646768,-74.01651
454,11249,40.717571,-74.005549,40.717571,-74.005549
455,457,40.73291553,-74.00711384,40.71754834,-74.01322069
456,562,40.746646999999996,-73.993915,40.72917025,-73.99810231
457,519,40.74394314,-73.97966069,40.71473993,-74.00910627
458,1431,40.70823502,-74.00530063,40.74394314,-73.97966069
459,780,40.74311555376486,-73.98215353488922,40.73704984,-73.99009296
460,107243,40.76584941,-73.98690506,40.72740794,-73.98142006
461,1718,40.71754834,-74.01322069,40.75510267,-73.97498696
462,2069,40.7405826,-74.00550867,40.74395411,-73.99144871
463,910,40.73331967,-73.99510132,40.73331967,-73.99510132
464,599,40.71911552,-74.00666661,40.71494807,-74.00234482
465,369,40.73543934,-73.99453948,40.74206539,-74.00443172
466,328,40.71605866,-73.99190759,40.713126,-73.984844
467,1424,40.75019995,-73.99093085,40.76727216,-73.99392888
468,789,40.685226719472546,-73.97800147533417,40.69089272,-73.99612349
469,1909,40.71622644,-73.98261206,40.771522,-73.99054100000001
470,1822,40.74394314,-73.97966069,40.76695317,-73.98169333
471,314,40.68223166,-73.9614583,40.70853074,-73.96408963
472,614,40.750967348715974,-73.99444207549095,40.759107,-73.959223
473,421,40.75971079999999,-73.97402311,40.7172274,-73.98802084
474,516,40.74780373,-73.97344190000001,40.75066386,-74.00176802
475,2398,40.73524276,-73.98758561,40.76590936,-73.97634151
476,2395,40.69383,-73.990539,40.76590936,-73.97634151
477,299,40.74395411,-73.99144871,40.71427487,-73.98990025
478,304,40.73535398,-74.00483091,40.73543934,-73.99453948
479,2011,40.76695317,-73.98169333,40.73454567,-73.99074142
480,1054,40.683048,-73.964915,40.71534825,-73.96024116
481,2256,40.75323098,-73.97032517,40.715337899999994,-74.01658354
482,605,40.720873600000004,-73.98085795,40.72362738,-73.99949601
483,190,40.72917025,-73.99810231,40.73049393,-73.99572140000001
484,625,40.7284186,-73.98713956,40.71910537,-73.99973337
485,2164,40.744023,-73.976056,40.76340613,-73.97722479
486,1449,40.72243797,-74.00566443,40.71473993,-74.00910627
487,729,40.73649403,-73.99704374,40.75645824,-73.99372222
